Unnamed: 0,date,item,Description,Quantity,Unit Price,DISCOUNT,NET TOTAL
3729,23.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3731,24.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3735,25.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3741,26.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3750,28.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3753,29.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3755,30.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3760,31.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3765,01.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3778,03.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3784,04.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3791,06.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3796,09.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3801,10.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3807,12.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3813,13.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3818,14.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3820,15.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3826,18.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3832,20.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3839,23.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3840,24.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3845,27.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3849,28.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3856,29.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3858,31.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3870,20.12.22,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3940,07.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3943,08.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3978,16.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
3999,22.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4019,30.01.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4023,01.02.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4027,02.02.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4624,03.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4627,04.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4629,07.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4631,08.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4632,09.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4635,10.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4637,11.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4638,12.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4640,13.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4641,15.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4645,16.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4647,18.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4649,19.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4653,21.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4654,22.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4655,23.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4657,24.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4658,25.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4660,26.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4661,27.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4662,31.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4664,03.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4665,04.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4666,05.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4667,06.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4668,07.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4670,08.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4672,09.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4673,12.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4676,13.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4677,14.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4679,15.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4680,16.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4681,18.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4683,20.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4685,21.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
